"care_site_id","care_site_name","place_of_service_concept_id","location_id","care_site_source_value","place_of_service_source_value"
6952,NA,8940,NA,"238728174",NA
6953,NA,8940,NA,"913164579",NA
6954,NA,8940,NA,"801391576",NA
6955,NA,8940,NA,"276699376",NA
6956,NA,8940,NA,"057043573",NA
6957,NA,8940,NA,"135553427",NA
6958,NA,8940,NA,"389485395",NA
6959,NA,8940,NA,"517659151",NA
6960,NA,8940,NA,"713881093",NA
6961,NA,8940,NA,"062226470",NA
6962,NA,8940,NA,"633792311",NA
6963,NA,8940,NA,"682757500",NA
6964,NA,8940,NA,"871590011",NA
6965,NA,8940,NA,"523183584",NA
6966,NA,8940,NA,"770485593",NA
6967,NA,8940,NA,"882649909",NA
6968,NA,8940,NA,"864584256",NA
6969,NA,8940,NA,"168970528",NA
6970,NA,8940,NA,"020238335",NA
6971,NA,8940,NA,"935751753",NA
6972,NA,8940,NA,"655410011",NA
6973,NA,8940,NA,"598864230",NA
6974,NA,8940,NA,"493828620",NA
6975,NA,8940,NA,"098443917",NA
6976,NA,8940,NA,"991734213",NA
6977,NA,8940,NA,"007924289",NA
6978,NA,8940,NA,"315498460",NA
6979,NA,8940,NA,"795541718",NA
6980,NA,8940,NA,"571589378",NA
6981,NA,8940,NA,"472265171",NA
6982,NA,8756,NA,"0100DN","Outpatient Facility"
6983,NA,8756,NA,"1013ZD","Outpatient Facility"
6984,NA,8940,NA,"314244082",NA
6985,NA,8940,NA,"407313241",NA
6986,NA,8940,NA,"846261856",NA
6987,NA,8940,NA,"478024523",NA
6988,NA,8940,NA,"622303784",NA
6989,NA,8940,NA,"142095365",NA
6990,NA,8940,NA,"431403734",NA
6991,NA,8940,NA,"720185566",NA
6992,NA,8940,NA,"354178166",NA
6993,NA,8940,NA,"479674116",NA
6994,NA,8940,NA,"131619246",NA
6995,NA,8940,NA,"649859992",NA
6996,NA,8940,NA,"803217074",NA
6997,NA,8940,NA,"072737275",NA
6998,NA,8940,NA,"360947474",NA
6999,NA,8940,NA,"528376599",NA
7000,NA,8940,NA,"876223705",NA
7001,NA,8940,NA,"614205186",NA
7002,NA,8940,NA,"131172175",NA
7003,NA,8940,NA,"362359351",NA
7004,NA,8940,NA,"468395008",NA
7005,NA,8940,NA,"463497567",NA
7006,NA,8940,NA,"101682701",NA
7007,NA,8940,NA,"668254517",NA
7008,NA,8940,NA,"714051489",NA
7009,NA,8940,NA,"678774706",NA
7010,NA,8940,NA,"917417190",NA
7011,NA,8940,NA,"089259974",NA
7012,NA,8940,NA,"210992662",NA
7013,NA,8940,NA,"856001038",NA
7014,NA,8940,NA,"806514416",NA
7015,NA,8940,NA,"799137411",NA
7016,NA,8940,NA,"330363496",NA
7017,NA,8940,NA,"795445078",NA
7018,NA,8940,NA,"861997263",NA
7019,NA,8940,NA,"943561865",NA
7020,NA,8940,NA,"100715597",NA
7021,NA,8940,NA,"424988169",NA
7022,NA,8940,NA,"452761454",NA
7023,NA,8940,NA,"832866255",NA
7024,NA,8940,NA,"765862941",NA
7025,NA,8756,NA,"1501MQ","Outpatient Facility"
7026,NA,8940,NA,"225400364",NA
7027,NA,8940,NA,"710132377",NA
7028,NA,8940,NA,"804818943",NA
7029,NA,8940,NA,"784058466",NA
7030,NA,8940,NA,"223428811",NA
7031,NA,8940,NA,"891411699",NA
7032,NA,8940,NA,"305089037",NA
7033,NA,8940,NA,"489364363",NA
7034,NA,8940,NA,"395097747",NA
7035,NA,8940,NA,"016014578",NA
7036,NA,8940,NA,"465964839",NA
7037,NA,8940,NA,"287558576",NA
7038,NA,8940,NA,"402273731",NA
7039,NA,8940,NA,"059836470",NA
7040,NA,8940,NA,"016535258",NA
7041,NA,8940,NA,"629308419",NA
7042,NA,8940,NA,"479423137",NA
7043,NA,8940,NA,"125955597",NA
7044,NA,8940,NA,"677652250",NA
7045,NA,8940,NA,"864419562",NA
7046,NA,8940,NA,"490858234",NA
7047,NA,8940,NA,"887716710",NA
7048,NA,8940,NA,"690363535",NA
7049,NA,8940,NA,"217962330",NA
7050,NA,8940,NA,"960447151",NA
7051,NA,8940,NA,"110643927",NA
7052,NA,8940,NA,"789168400",NA
7053,NA,8940,NA,"512616958",NA
7054,NA,8940,NA,"249211311",NA
7055,NA,8940,NA,"606612868",NA
7056,NA,8940,NA,"876242650",NA
7057,NA,8940,NA,"103316135",NA
7058,NA,8940,NA,"671474361",NA
7059,NA,8940,NA,"625424014",NA
7060,NA,8940,NA,"700943923",NA
7061,NA,8940,NA,"313852850",NA
7062,NA,8756,NA,"5001TJ","Outpatient Facility"
7063,NA,8756,NA,"5000VC","Outpatient Facility"
7064,NA,8940,NA,"690057274",NA
7065,NA,8940,NA,"912801397",NA
7066,NA,8940,NA,"681055543",NA
7067,NA,8940,NA,"938390182",NA
7068,NA,8940,NA,"810359251",NA
7069,NA,8940,NA,"143618261",NA
7070,NA,8940,NA,"930438619",NA
7071,NA,8940,NA,"916336726",NA
7072,NA,8940,NA,"774777994",NA
7073,NA,8940,NA,"235970492",NA
7074,NA,8940,NA,"528312872",NA
7075,NA,8940,NA,"730459369",NA
7076,NA,8940,NA,"245177755",NA
7077,NA,8940,NA,"805788055",NA
7078,NA,8940,NA,"064528862",NA
7079,NA,8940,NA,"539446930",NA
7080,NA,8940,NA,"952203790",NA
7081,NA,8940,NA,"476368339",NA
7082,NA,8756,NA,"3939TC","Outpatient Facility"
7083,NA,8717,NA,"15T1AM","Inpatient Facility"
7084,NA,8717,NA,"1500QB","Inpatient Facility"
7085,NA,8756,NA,"1500WB","Outpatient Facility"
7086,NA,8756,NA,"1500WS","Outpatient Facility"
7087,NA,8756,NA,"1400MQ","Outpatient Facility"
7088,NA,8756,NA,"1513TT","Outpatient Facility"
7089,NA,8940,NA,"368376910",NA
7090,NA,8940,NA,"776020573",NA
7091,NA,8940,NA,"488658686",NA
7092,NA,8940,NA,"662894897",NA
7093,NA,8940,NA,"151635340",NA
7094,NA,8940,NA,"521458116",NA
7095,NA,8940,NA,"075249777",NA
7096,NA,8940,NA,"218243626",NA
7097,NA,8940,NA,"173695717",NA
7098,NA,8940,NA,"143734905",NA
7099,NA,8940,NA,"313411377",NA
7100,NA,8940,NA,"664086926",NA
7101,NA,8940,NA,"429740687",NA
7102,NA,8940,NA,"627274175",NA
7103,NA,8940,NA,"006068019",NA
7104,NA,8940,NA,"670473124",NA
7105,NA,8940,NA,"845898077",NA
7106,NA,8940,NA,"312212870",NA
7107,NA,8940,NA,"388661185",NA
7108,NA,8940,NA,"212948312",NA
7109,NA,8940,NA,"654171318",NA
7110,NA,8940,NA,"047091901",NA
7111,NA,8940,NA,"995051277",NA
7112,NA,8940,NA,"781782754",NA
7113,NA,8940,NA,"161356204",NA
7114,NA,8940,NA,"021492594",NA
7115,NA,8940,NA,"248364603",NA
7116,NA,8940,NA,"575279878",NA
7117,NA,8940,NA,"044993734",NA
7118,NA,8940,NA,"238245136",NA
7119,NA,8756,NA,"3900WP","Outpatient Facility"
7120,NA,8756,NA,"1100ND","Outpatient Facility"
7121,NA,8756,NA,"1000RK","Outpatient Facility"
7122,NA,8756,NA,"3000DV","Outpatient Facility"
7123,NA,8756,NA,"4508JR","Outpatient Facility"
7124,NA,8940,NA,"438058673",NA
7125,NA,8940,NA,"314926274",NA
7126,NA,8940,NA,"238998897",NA
7127,NA,8940,NA,"357085208",NA
7128,NA,8940,NA,"158678546",NA
7129,NA,8940,NA,"205866877",NA
7130,NA,8940,NA,"464890978",NA
7131,NA,8940,NA,"556902110",NA
7132,NA,8940,NA,"288453694",NA
7133,NA,8940,NA,"293597927",NA
7134,NA,8940,NA,"655170187",NA
7135,NA,8940,NA,"900319078",NA
7136,NA,8940,NA,"894397471",NA
7137,NA,8940,NA,"230372675",NA
7138,NA,8940,NA,"934819122",NA
7139,NA,8940,NA,"331264453",NA
7140,NA,8940,NA,"139974466",NA
7141,NA,8940,NA,"083422037",NA
7142,NA,8940,NA,"175199247",NA
7143,NA,8940,NA,"359700692",NA
7144,NA,8940,NA,"213817197",NA
7145,NA,8940,NA,"193201444",NA
7146,NA,8940,NA,"226966749",NA
7147,NA,8940,NA,"438824319",NA
7148,NA,8940,NA,"184503513",NA
7149,NA,8940,NA,"399357029",NA
7150,NA,8940,NA,"610376306",NA
7151,NA,8940,NA,"244572574",NA
7152,NA,8940,NA,"110815338",NA
7153,NA,8940,NA,"448277381",NA
7154,NA,8940,NA,"122844579",NA
7155,NA,8940,NA,"721778485",NA
7156,NA,8940,NA,"908455005",NA
7157,NA,8940,NA,"177755191",NA
7158,NA,8717,NA,"3100VC","Inpatient Facility"
7159,NA,8756,NA,"3902QA","Outpatient Facility"
7160,NA,8756,NA,"0800RA","Outpatient Facility"
7161,NA,8756,NA,"3100CP","Outpatient Facility"
7162,NA,8756,NA,"3100ZR","Outpatient Facility"
7163,NA,8756,NA,"3100PC","Outpatient Facility"
7164,NA,8940,NA,"917485580",NA
7165,NA,8940,NA,"346611201",NA
7166,NA,8940,NA,"237417618",NA
7167,NA,8940,NA,"336097955",NA
7168,NA,8940,NA,"672331052",NA
7169,NA,8940,NA,"126031126",NA
7170,NA,8940,NA,"138444901",NA
7171,NA,8940,NA,"515998894",NA
7172,NA,8940,NA,"204402909",NA
7173,NA,8940,NA,"949388958",NA
7174,NA,8940,NA,"448903851",NA
7175,NA,8940,NA,"804085033",NA
7176,NA,8940,NA,"986577156",NA
7177,NA,8940,NA,"758411635",NA
7178,NA,8940,NA,"813875243",NA
7179,NA,8940,NA,"043473484",NA
7180,NA,8940,NA,"694728158",NA
7181,NA,8940,NA,"605182696",NA
7182,NA,8940,NA,"856187846",NA
7183,NA,8940,NA,"819444296",NA
7184,NA,8940,NA,"629540332",NA
7185,NA,8940,NA,"854880999",NA
7186,NA,8940,NA,"562395154",NA
7187,NA,8940,NA,"914166504",NA
7188,NA,8940,NA,"476775853",NA
7189,NA,8940,NA,"295466824",NA
7190,NA,8940,NA,"691364188",NA
7191,NA,8940,NA,"254269657",NA
7192,NA,8940,NA,"128737105",NA
7193,NA,8940,NA,"065291258",NA
7194,NA,8940,NA,"622191543",NA
7195,NA,8940,NA,"115496887",NA
7196,NA,8940,NA,"651624465",NA
7197,NA,8940,NA,"390058283",NA
7198,NA,8940,NA,"984120603",NA
7199,NA,8940,NA,"215050479",NA
7200,NA,8940,NA,"938681458",NA
7201,NA,8940,NA,"494135598",NA
7202,NA,8940,NA,"130653521",NA
7203,NA,8940,NA,"528062029",NA
7204,NA,8940,NA,"866173484",NA
7205,NA,8940,NA,"513855656",NA
7206,NA,8940,NA,"016878133",NA
7207,NA,8940,NA,"440577546",NA
7208,NA,8940,NA,"347089273",NA
7209,NA,8940,NA,"359454117",NA
7210,NA,8940,NA,"613488177",NA
7211,NA,8940,NA,"641464080",NA
7212,NA,8940,NA,"487856971",NA
7213,NA,8940,NA,"745648038",NA
7214,NA,8940,NA,"361505389",NA
7215,NA,8940,NA,"966966224",NA
7216,NA,8940,NA,"070108776",NA
7217,NA,8940,NA,"185638986",NA
7218,NA,8940,NA,"437051476",NA
7219,NA,8940,NA,"666678716",NA
7220,NA,8756,NA,"34256M","Outpatient Facility"
7221,NA,8756,NA,"3301YD","Outpatient Facility"
7222,NA,8756,NA,"3426GD","Outpatient Facility"
7223,NA,8756,NA,"2800BJ","Outpatient Facility"
7224,NA,8756,NA,"2300NN","Outpatient Facility"
7225,NA,8940,NA,"209318865",NA
7226,NA,8940,NA,"025716891",NA
7227,NA,8940,NA,"989574879",NA
7228,NA,8940,NA,"438116200",NA
7229,NA,8940,NA,"265289164",NA
7230,NA,8940,NA,"372760701",NA
7231,NA,8940,NA,"639946657",NA
7232,NA,8940,NA,"782863819",NA
7233,NA,8940,NA,"599360183",NA
7234,NA,8940,NA,"268630114",NA
7235,NA,8940,NA,"897964492",NA
7236,NA,8940,NA,"902206638",NA
7237,NA,8940,NA,"879681754",NA
7238,NA,8940,NA,"091548367",NA
7239,NA,8940,NA,"505813302",NA
7240,NA,8940,NA,"465402985",NA
7241,NA,8940,NA,"023443143",NA
7242,NA,8940,NA,"937443170",NA
7243,NA,8940,NA,"159162701",NA
7244,NA,8940,NA,"562192136",NA
7245,NA,8940,NA,"656455573",NA
7246,NA,8940,NA,"776587911",NA
7247,NA,8940,NA,"428928912",NA
7248,NA,8940,NA,"624062563",NA
7249,NA,8940,NA,"291809670",NA
7250,NA,8940,NA,"936579089",NA
7251,NA,8940,NA,"089004588",NA
7252,NA,8940,NA,"835956336",NA
7253,NA,8756,NA,"2602WC","Outpatient Facility"
7254,NA,8756,NA,"2600VG","Outpatient Facility"
7255,NA,8756,NA,"2601UV","Outpatient Facility"
7256,NA,8756,NA,"2601RS","Outpatient Facility"
7257,NA,8940,NA,"701867289",NA
7258,NA,8940,NA,"313490681",NA
7259,NA,8940,NA,"239001441",NA
7260,NA,8940,NA,"656578645",NA
7261,NA,8940,NA,"913992252",NA
7262,NA,8940,NA,"031017542",NA
7263,NA,8940,NA,"145462316",NA
7264,NA,8940,NA,"204248911",NA
7265,NA,8940,NA,"696064944",NA
7266,NA,8940,NA,"450853745",NA
7267,NA,8940,NA,"753329837",NA
7268,NA,8940,NA,"612128537",NA
7269,NA,8940,NA,"229344090",NA
7270,NA,8940,NA,"799196941",NA
7271,NA,8940,NA,"895995794",NA
7272,NA,8940,NA,"973578910",NA
7273,NA,8940,NA,"491595758",NA
7274,NA,8940,NA,"947233902",NA
7275,NA,8940,NA,"383064434",NA
7276,NA,8940,NA,"383510135",NA
7277,NA,8940,NA,"942623971",NA
7278,NA,8940,NA,"699903615",NA
7279,NA,8940,NA,"868371597",NA
7280,NA,8940,NA,"297052033",NA
7281,NA,8940,NA,"435407691",NA
7282,NA,8940,NA,"042781468",NA
7283,NA,8756,NA,"4513QB","Outpatient Facility"
7284,NA,8940,NA,"691347908",NA
7285,NA,8940,NA,"570720340",NA
7286,NA,8940,NA,"289577178",NA
7287,NA,8940,NA,"976180926",NA
7288,NA,8940,NA,"908013711",NA
7289,NA,8756,NA,"2200SS","Outpatient Facility"
7290,NA,8940,NA,"514672511",NA
7291,NA,8940,NA,"824419704",NA
7292,NA,8940,NA,"868737383",NA
7293,NA,8940,NA,"523545717",NA
7294,NA,8940,NA,"864998883",NA
7295,NA,8940,NA,"183868146",NA
7296,NA,8940,NA,"937180245",NA
7297,NA,8940,NA,"532959026",NA
7298,NA,8940,NA,"361187857",NA
7299,NA,8940,NA,"497471051",NA
7300,NA,8940,NA,"251970913",NA
7301,NA,8940,NA,"576988371",NA
7302,NA,8940,NA,"077414786",NA
7303,NA,8940,NA,"524844843",NA
7304,NA,8756,NA,"4400VG","Outpatient Facility"
7305,NA,8940,NA,"514555094",NA
7306,NA,8940,NA,"300811943",NA
7307,NA,8940,NA,"063822439",NA
7308,NA,8940,NA,"151436223",NA
7309,NA,8940,NA,"661995638",NA
7310,NA,8940,NA,"588402049",NA
7311,NA,8940,NA,"830378856",NA
7312,NA,8940,NA,"118637977",NA
7313,NA,8940,NA,"052978388",NA
7314,NA,8940,NA,"294908608",NA
7315,NA,8940,NA,"575054641",NA
7316,NA,8940,NA,"621664275",NA
7317,NA,8940,NA,"107555352",NA
7318,NA,8717,NA,"0100YT","Inpatient Facility"
7319,NA,8756,NA,"0101YC","Outpatient Facility"
7320,NA,8756,NA,"01008J","Outpatient Facility"
7321,NA,8756,NA,"01006V","Outpatient Facility"
7322,NA,8756,NA,"1102AC","Outpatient Facility"
7323,NA,8756,NA,"3413YB","Outpatient Facility"
7324,NA,8756,NA,"0101HG","Outpatient Facility"
7325,NA,8756,NA,"1002BJ","Outpatient Facility"
7326,NA,8756,NA,"1100HN","Outpatient Facility"
7327,NA,8756,NA,"0101GD","Outpatient Facility"
7328,NA,8756,NA,"0100HQ","Outpatient Facility"
7329,NA,8756,NA,"0101KK","Outpatient Facility"
7330,NA,8756,NA,"0100MU","Outpatient Facility"
7331,NA,8940,NA,"481173864",NA
7332,NA,8940,NA,"166565448",NA
7333,NA,8940,NA,"876431085",NA
7334,NA,8940,NA,"611307284",NA
7335,NA,8940,NA,"209318882",NA
7336,NA,8940,NA,"448308191",NA
7337,NA,8940,NA,"208749682",NA
7338,NA,8940,NA,"569280810",NA
7339,NA,8940,NA,"982196771",NA
7340,NA,8940,NA,"980056771",NA
7341,NA,8940,NA,"453449849",NA
7342,NA,8940,NA,"103365488",NA
7343,NA,8940,NA,"559189916",NA
7344,NA,8940,NA,"826740335",NA
7345,NA,8940,NA,"690821961",NA
7346,NA,8940,NA,"349247107",NA
7347,NA,8940,NA,"924686511",NA
7348,NA,8940,NA,"878514919",NA
7349,NA,8940,NA,"614106507",NA
7350,NA,8940,NA,"035707373",NA
7351,NA,8940,NA,"882817700",NA
7352,NA,8940,NA,"831993477",NA
7353,NA,8940,NA,"767643464",NA
7354,NA,8940,NA,"674751154",NA
7355,NA,8940,NA,"443689134",NA
7356,NA,8940,NA,"870340195",NA
7357,NA,8940,NA,"105424889",NA
7358,NA,8940,NA,"522465876",NA
7359,NA,8940,NA,"179072001",NA
7360,NA,8940,NA,"178028111",NA
7361,NA,8940,NA,"682102914",NA
7362,NA,8940,NA,"763945400",NA
7363,NA,8940,NA,"435841286",NA
7364,NA,8940,NA,"931751444",NA
7365,NA,8940,NA,"416563696",NA
7366,NA,8940,NA,"778518912",NA
7367,NA,8940,NA,"692096792",NA
7368,NA,8940,NA,"132626679",NA
7369,NA,8940,NA,"271399177",NA
7370,NA,8940,NA,"782194894",NA
7371,NA,8940,NA,"120004534",NA
7372,NA,8940,NA,"091671222",NA
7373,NA,8940,NA,"166192192",NA
7374,NA,8940,NA,"898527411",NA
7375,NA,8940,NA,"257547329",NA
7376,NA,8940,NA,"848210927",NA
7377,NA,8940,NA,"987725345",NA
7378,NA,8940,NA,"951125424",NA
7379,NA,8940,NA,"059817695",NA
7380,NA,8940,NA,"629413292",NA
7381,NA,8940,NA,"723363480",NA
7382,NA,8940,NA,"826716551",NA
7383,NA,8940,NA,"257229270",NA
7384,NA,8940,NA,"543281054",NA
7385,NA,8940,NA,"800221325",NA
7386,NA,8940,NA,"200154354",NA
7387,NA,8940,NA,"179975635",NA
7388,NA,8940,NA,"856917969",NA
7389,NA,8940,NA,"842072576",NA
7390,NA,8940,NA,"959631795",NA
7391,NA,8940,NA,"431393671",NA
7392,NA,8940,NA,"245661555",NA
7393,NA,8940,NA,"759756051",NA
7394,NA,8940,NA,"978013589",NA
7395,NA,8940,NA,"774618201",NA
7396,NA,8940,NA,"235422972",NA
7397,NA,8940,NA,"467073397",NA
7398,NA,8940,NA,"884855377",NA
7399,NA,8940,NA,"176673766",NA
7400,NA,8940,NA,"112721809",NA
7401,NA,8940,NA,"180121163",NA
7402,NA,8940,NA,"105279290",NA
7403,NA,8940,NA,"863993108",NA
7404,NA,8940,NA,"183431036",NA
7405,NA,8940,NA,"405220089",NA
7406,NA,8940,NA,"792308602",NA
7407,NA,8940,NA,"902357082",NA
7408,NA,8940,NA,"926879001",NA
7409,NA,8940,NA,"875828873",NA
7410,NA,8940,NA,"313434770",NA
7411,NA,8940,NA,"069178509",NA
7412,NA,8717,NA,"2400KU","Inpatient Facility"
7413,NA,8717,NA,"5200GV","Inpatient Facility"
7414,NA,8717,NA,"5213CD","Inpatient Facility"
7415,NA,8756,NA,"5200ZV","Outpatient Facility"
7416,NA,8756,NA,"5213VR","Outpatient Facility"
7417,NA,8756,NA,"2401PN","Outpatient Facility"
7418,NA,8940,NA,"151704510",NA
7419,NA,8940,NA,"482052177",NA
7420,NA,8940,NA,"441453853",NA
7421,NA,8940,NA,"030245169",NA
7422,NA,8940,NA,"415108650",NA
7423,NA,8940,NA,"674564095",NA
7424,NA,8940,NA,"873411735",NA
7425,NA,8940,NA,"647242273",NA
7426,NA,8940,NA,"023604192",NA
7427,NA,8940,NA,"990141252",NA
7428,NA,8940,NA,"197885526",NA
7429,NA,8756,NA,"10S1QT","Outpatient Facility"
7430,NA,8756,NA,"1001KG","Outpatient Facility"
7431,NA,8756,NA,"10006P","Outpatient Facility"
7432,NA,8756,NA,"1026RU","Outpatient Facility"
7433,NA,8756,NA,"2000SK","Outpatient Facility"
7434,NA,8940,NA,"596983944",NA
7435,NA,8940,NA,"695274352",NA
7436,NA,8940,NA,"980623507",NA
7437,NA,8940,NA,"276073474",NA
7438,NA,8940,NA,"640295091",NA
7439,NA,8940,NA,"910095020",NA
7440,NA,8940,NA,"573676540",NA
7441,NA,8940,NA,"054214328",NA
7442,NA,8940,NA,"219865792",NA
7443,NA,8940,NA,"627416508",NA
7444,NA,8940,NA,"336756354",NA
7445,NA,8940,NA,"537982917",NA
7446,NA,8940,NA,"167498490",NA
7447,NA,8940,NA,"433400600",NA
7448,NA,8940,NA,"984021016",NA
7449,NA,8940,NA,"338735335",NA
7450,NA,8940,NA,"721127846",NA
7451,NA,8940,NA,"499913486",NA
7452,NA,8940,NA,"207268517",NA
7453,NA,8940,NA,"119092828",NA
7454,NA,8940,NA,"405537089",NA
7455,NA,8940,NA,"984282604",NA
7456,NA,8940,NA,"486196605",NA
7457,NA,8940,NA,"846123702",NA
7458,NA,8940,NA,"296943997",NA
7459,NA,8940,NA,"204845890",NA
7460,NA,8940,NA,"906567358",NA
7461,NA,8940,NA,"033504740",NA
7462,NA,8940,NA,"440334333",NA
7463,NA,8940,NA,"351236323",NA
7464,NA,8940,NA,"437908378",NA
7465,NA,8940,NA,"912635955",NA
7466,NA,8940,NA,"547456091",NA
7467,NA,8940,NA,"495489580",NA
7468,NA,8940,NA,"927095013",NA
7469,NA,8940,NA,"639946814",NA
7470,NA,8940,NA,"091113382",NA
7471,NA,8940,NA,"088331714",NA
7472,NA,8756,NA,"1501AS","Outpatient Facility"
7473,NA,8940,NA,"417148737",NA
7474,NA,8940,NA,"321532705",NA
7475,NA,8940,NA,"629357202",NA
7476,NA,8940,NA,"595927993",NA
7477,NA,8940,NA,"992369816",NA
7478,NA,8940,NA,"324638109",NA
7479,NA,8940,NA,"026621960",NA
7480,NA,8940,NA,"984639809",NA
7481,NA,8717,NA,"0900TV","Inpatient Facility"
7482,NA,8756,NA,"5113TV","Outpatient Facility"
7483,NA,8756,NA,"5125VD","Outpatient Facility"
7484,NA,8940,NA,"258831473",NA
7485,NA,8940,NA,"257146975",NA
7486,NA,8940,NA,"357676612",NA
7487,NA,8940,NA,"603296365",NA
7488,NA,8940,NA,"039620651",NA
7489,NA,8940,NA,"581006004",NA
7490,NA,8940,NA,"645177092",NA
7491,NA,8940,NA,"306456264",NA
7492,NA,8940,NA,"920121058",NA
7493,NA,8940,NA,"329208602",NA
7494,NA,8940,NA,"707471896",NA
7495,NA,8940,NA,"880286116",NA
7496,NA,8940,NA,"152672547",NA
7497,NA,8940,NA,"852915644",NA
7498,NA,8940,NA,"235667620",NA
7499,NA,8940,NA,"181692979",NA
7500,NA,8940,NA,"118799247",NA
7501,NA,8940,NA,"278051552",NA
7502,NA,8940,NA,"722998643",NA
7503,NA,8940,NA,"597059884",NA
7504,NA,8940,NA,"811263825",NA
7505,NA,8940,NA,"874875069",NA
7506,NA,8940,NA,"995354906",NA
7507,NA,8940,NA,"006826382",NA
7508,NA,8940,NA,"444275185",NA
7509,NA,8940,NA,"312054738",NA
7510,NA,8940,NA,"595206211",NA
7511,NA,8940,NA,"823624820",NA
7512,NA,8940,NA,"918009615",NA
7513,NA,8940,NA,"043314416",NA
7514,NA,8940,NA,"846311201",NA
7515,NA,8940,NA,"078687811",NA
7516,NA,8940,NA,"088899037",NA
7517,NA,8940,NA,"508056622",NA
7518,NA,8940,NA,"237863879",NA
7519,NA,8940,NA,"354886373",NA
7520,NA,8940,NA,"059416824",NA
7521,NA,8940,NA,"812896562",NA
7522,NA,8940,NA,"542776226",NA
7523,NA,8940,NA,"748211558",NA
7524,NA,8940,NA,"032874378",NA
7525,NA,8717,NA,"1800SA","Inpatient Facility"
7526,NA,8717,NA,"1800AD","Inpatient Facility"
7527,NA,8756,NA,"1813KQ","Outpatient Facility"
7528,NA,8756,NA,"1813VD","Outpatient Facility"
7529,NA,8756,NA,"1801KT","Outpatient Facility"
7530,NA,8940,NA,"034419989",NA
7531,NA,8940,NA,"487028162",NA
7532,NA,8940,NA,"093493917",NA
7533,NA,8940,NA,"501265899",NA
7534,NA,8940,NA,"632499785",NA
7535,NA,8940,NA,"114810442",NA
7536,NA,8940,NA,"203857700",NA
7537,NA,8940,NA,"993331693",NA
7538,NA,8940,NA,"818822365",NA
7539,NA,8940,NA,"265455072",NA
7540,NA,8940,NA,"977862719",NA
7541,NA,8940,NA,"498427757",NA
7542,NA,8940,NA,"896177195",NA
7543,NA,8940,NA,"404633256",NA
7544,NA,8940,NA,"311481335",NA
7545,NA,8940,NA,"254119178",NA
7546,NA,8940,NA,"570854287",NA
7547,NA,8940,NA,"407832063",NA
7548,NA,8940,NA,"760833045",NA
7549,NA,8940,NA,"755818793",NA
7550,NA,8940,NA,"088692702",NA
7551,NA,8940,NA,"014437043",NA
7552,NA,8940,NA,"102581717",NA
7553,NA,8940,NA,"000781445",NA
7554,NA,8940,NA,"894742261",NA
7555,NA,8940,NA,"704524834",NA
7556,NA,8940,NA,"876363027",NA
7557,NA,8940,NA,"224123128",NA
7558,NA,8940,NA,"088454787",NA
7559,NA,8940,NA,"602709137",NA
7560,NA,8940,NA,"265395474",NA
7561,NA,8940,NA,"231671253",NA
7562,NA,8940,NA,"021341635",NA
7563,NA,8940,NA,"105317727",NA
7564,NA,8940,NA,"509877036",NA
7565,NA,8940,NA,"942608033",NA
7566,NA,8940,NA,"441655579",NA
7567,NA,8940,NA,"763605916",NA
7568,NA,8940,NA,"143116828",NA
7569,NA,8940,NA,"778874105",NA
7570,NA,8940,NA,"401800466",NA
7571,NA,8940,NA,"894683720",NA
7572,NA,8756,NA,"2225CJ","Outpatient Facility"
7573,NA,8940,NA,"163215822",NA
7574,NA,8940,NA,"504444950",NA
7575,NA,8940,NA,"028768547",NA
7576,NA,8940,NA,"438525257",NA
7577,NA,8940,NA,"447706402",NA
7578,NA,8940,NA,"492887736",NA
7579,NA,8940,NA,"232983362",NA
7580,NA,8940,NA,"907450119",NA
7581,NA,8756,NA,"4413GM","Outpatient Facility"
7582,NA,8756,NA,"1100YK","Outpatient Facility"
7583,NA,8940,NA,"994998368",NA
7584,NA,8940,NA,"278902415",NA
7585,NA,8940,NA,"492856753",NA
7586,NA,8940,NA,"017021367",NA
7587,NA,8940,NA,"786857266",NA
7588,NA,8940,NA,"681625758",NA
7589,NA,8940,NA,"262791640",NA
7590,NA,8940,NA,"840493639",NA
7591,NA,8940,NA,"617599767",NA
7592,NA,8940,NA,"890729879",NA
7593,NA,8940,NA,"501975760",NA
7594,NA,8940,NA,"713968251",NA
7595,NA,8940,NA,"201853867",NA
7596,NA,8940,NA,"954077216",NA
7597,NA,8940,NA,"818245646",NA
7598,NA,8940,NA,"431337509",NA
7599,NA,8940,NA,"036791928",NA
7600,NA,8940,NA,"055428284",NA
7601,NA,8940,NA,"306107136",NA
7602,NA,8940,NA,"853456198",NA
7603,NA,8940,NA,"751127414",NA
7604,NA,8940,NA,"170854965",NA
7605,NA,8940,NA,"433015238",NA
7606,NA,8940,NA,"820945513",NA
7607,NA,8940,NA,"495561610",NA
7608,NA,8940,NA,"318869391",NA
7609,NA,8756,NA,"45088H","Outpatient Facility"
7610,NA,8756,NA,"4501JQ","Outpatient Facility"
7611,NA,8940,NA,"316941458",NA
7612,NA,8940,NA,"452013036",NA
7613,NA,8940,NA,"204842210",NA
7614,NA,8940,NA,"432790919",NA
7615,NA,8940,NA,"695086562",NA
7616,NA,8940,NA,"339196611",NA
7617,NA,8940,NA,"559252354",NA
7618,NA,8940,NA,"676150321",NA
7619,NA,8940,NA,"067703154",NA
